site,transect,transArea,transLength
S1,T1,142.5,28.5
S1,T2,171.5,34.3
S1,T3,134.5,26.9
S2,T1,148.5,29.7
S2,T2,200,40
S2,T3,172.5,34.5
S3,T1,178,35.6
S3,T2,209,41.8
S3,T3,207.5,41.5
S4,T1,217.5,43.5
S4,T2,139,27.8
S4,T3,170,34
S5,T1,220,44
S5,T2,155,31
S5,T3,122,24.4
S6,T1,208.5,41.7
S6,T2,240,48
S6,T3,208.5,41.7
S7,T1,241.5,48.3
S7,T2,252.5,50.5
S7,T3,250,50
S8,T1,253,50.6
S8,T2,253,50.6
S8,T3,236,47.2
S9,T1,122,24.4
S9,T2,96,19.2
S9,T3,95,19
S10,T1,228.5,45.7
S10 ,T2,220,44
S10,T3,222.5,44.5
S11,T1,250,50
S11,T2,249.5,49.9
S11,T3,249,49.8
S12,T1,188.5,37.7
S12,T2,196.5,39.3
S12,T3,179,35.8
S13,T1,249,49.8
S13,T2,233.5,46.7
S13,T3,249.5,49.9
S14,T1,147.5,29.5
S14,T2,157,31.4
S14,T3,130.5,26.1
S15,T1,129,25.8
S15,T2,162,32.4
S15,T3,119,23.8
S16,T1,147,29.4
S16,T2,175,35
S16,T3,136.5,27.3
S17,T1,105,21
S17,T2,92,18.4
S17,T3,62.5,12.5
S18,T1,164,32.8
S18,T2,120,24
S18,T3,71.5,14.3
S19,T1,207.5,41.5
S19,T2,91.5,18.3
S19,T3,110.5,22.1
S20,T1,233.5,46.7
S20,T2,238,47.6
S20,T3,250,50
S21,T1,241.5,48.3
S21,T2,250,50
S21,T3,250,50
S22,T1,125,25
S22,T2,130,26
S22,T3,104.5,20.9
S23,T1,120.5,24.1
S23,T2,118,23.6
S23,T3,133,26.6
S24,T1,150,30
S24,T2,152.5,30.5
S24,T3,149,29.8
S25,T1,203.5,40.7
S25,T2,220.5,44.1
S25,T3,204,40.8
S26,T1,193,38.6
S26,T2,228,45.6
S26,T3,197,39.4
S27,T1,145,29
S27,T2,226.5,45.3
S27,T3,153,30.6
S27,T4,176,35.2
S27,T5,168,33.6
S27,T6,117.5,23.5
S28,T1,169,33.8
S28,T2,177,35.4
S28,T3,110,22
S29,T1,173,34.6
S29,T2,172,34.4
S29,T3,95,19
S30,T1,125,25
S30,T2,125,25
S30,T3,120,24
S31,T1,110,22
S31,T2,127.5,25.5
S31,T3,120,24
S31,T4,95,19
S32,T1,181.5,36.3
S32,T2,140,28
S32,T3,193.5,38.7
S33,T1,250,50
S33,T2,242.5,48.5
S33,T3,179,35.8
S34,T1,254.5,50.9
S34,T2,269,53.8
S34,T3,270,54
S35,T1,110,22
S35,T2,109,21.8
S35,T3,105.5,21.1
S36,T1,195,39
S36,T2,139.5,27.9
S36,T3,92.5,18.5
S37,T1,200,40
S37,T2,199,39.8
S37,T3,172.5,34.5
S38,T1,335,67
S38,T2,332.5,66.5
S38,T3,345,69
S39,T1,136.5,27.3
S39,T2,87.5,17.5
S39,T3,91.5,18.3
S40,T1,107,21.4
S40,T2,101.5,20.3
S40,T3,101,20.2
S41,T1,105,21
S41,T2,69,13.8
S41,T3,140,28
S42,T1,95,19
S42,T2,93,18.6
S42,T3,86,17.2
S43,T1,205,41
S43,T2,153.5,30.7
S43,T3,162,32.4
S44,T1,143.5,28.7
S44,T2,153,30.6
S44,T3,68.5,13.7
S44,T4,107.5,21.5
S44,T5,118,23.6
