"","Taxon","maximum.height","source"
"30","Capparis velutina",15,"AUSTRAITS_dataset_49"
"36","Cayratia clematidea",2,"AUSTRAITS_dataset_10"
"38","Cissus antarctica",2,"AUSTRAITS_dataset_8"
"39","Cissus hypoglauca",15,"AUSTRAITS_dataset_8"
"42","Clematis aristata",8,"AUSTRAITS_dataset_8"
"58","Dioscorea transversa",1.5,"AUSTRAITS_dataset_8"
"89","Flagellaria indica",2,"AUSTRAITS_dataset_52"
"91","Geitonoplesium cymosum",3,"AUSTRAITS_dataset_10"
"98","Hippocratea barbata",1.3,"AUSTRAITS_dataset_8"
"111","Maclura cochinchinensis",15,"AUSTRAITS_dataset_49"
"116","Marsdenia rostrata",1.8,"AUSTRAITS_dataset_8"
"125","Morinda jasminoides",20,"AUSTRAITS_dataset_8"
"132","Pandorea pandorana",1.6,"AUSTRAITS_dataset_8"
"134","Parsonsia straminea",17,"AUSTRAITS_dataset_8"
"135","Passiflora edulis",5,"AUSTRAITS_dataset_10"
"155","Rubus rosifolius",1,"AUSTRAITS_dataset_8"
"161","Smilax australis",4,"AUSTRAITS_dataset_8"
"162","Stephania japonica",0.1,"AUSTRAITS_dataset_8"
